compound_id,compound_smiles
CHEMBL102039,CC1(C)CCC(C)(C)c2cc(c(cc12)C(=O)c1ccc(cc1)C(=O)O)Cl
CHEMBL102094,COc1ccccc1N1CCN(CC1)CCOc1ccc(cc1)C(=O)Nc1ccccc1OCCCC(=O)O
CHEMBL1023,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL102497,C=CCN1CC[C@@H]([C@H](C)C1)N(c1ccccc1)c1ccc(cc1)C(=O)N(CC)CC
CHEMBL102533,Cc1c(Cc2ccncc2)c2cc(ccc2n1CCNS(=O)(=O)c1ccc(cc1)F)CCC(=O)O
CHEMBL102692,Cc1c2cc(ccc2n(CCNS(=O)(=O)c2ccc(cc2)F)c1Cn1ccnc1)CCC(=O)O
CHEMBL10294,CCCCOC1(COc2ccccc2O1)C1=NCCN1
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
CHEMBL10316,c1ccc2c(c1)OCC(C1=NCCN1)O2
CHEMBL10332,COC1(COc2ccccc2O1)C1=NCCN1
CHEMBL103331,CC(Cc1cc(cc(c1OC)OC)OC)N
CHEMBL103436,CC(Cc1cc(ccc1OC)OC)N(C)C
CHEMBL10347,COC(=O)[C@H]1[C@H]2C[C@H]3c4c(CCN3C[C@H]2CC[C@@H]1O)c1ccccc1[nH]4
CHEMBL103580,Cc1c(Cc2ccncc2)c2cc(ccc2[nH]1)CCC(=O)O
CHEMBL103667,Cc1ccc(cc1)n1c(cc(C(C)(C)C)n1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1
CHEMBL103676,CC(C)(C)c1cc(NC(=S)Nc2ccc(cc2)Cl)n(c2ccccc2)n1
CHEMBL103700,CC(Cc1cc2c(cc1OC)OCO2)N
CHEMBL103741,CCN1CNS(=O)(=O)c2c1cccn2
CHEMBL103779,CN(C)CCc1cc(ccc1OC)OC
CHEMBL103817,CC(=N[C@@H](Cc1cnc[nH]1)C(=N[C@H](Cc1ccc2ccccc2c1)C(=N[C@@H](CCCNC(=N)N)C(=N[C@@H](Cc1c[nH]c2ccccc12)C(=N)O)O)O)O)O
CHEMBL103924,c1cc2c(cc1CCC(=O)O)c(Cc1ccncc1)cn2CCNS(=O)(=O)c1ccc(cc1)F
CHEMBL104,c1ccc(cc1)C(c1ccccc1)(c1ccccc1Cl)n1ccnc1
CHEMBL104042,C1C[C@H]2CN(CC[C@]32c2cccc(c2O[C@H]3C1)O)CC1CC1
CHEMBL104119,c1ccc(cc1)n1c(ccn1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1
CHEMBL104141,CCCN1Cc2c(C)cccc2[C@@H]2c3cc(c(cc3CC[C@@H]12)O)O
CHEMBL104204,COc1ccccc1N1CCN(CCNC(=O)c2ccco2)CC1
CHEMBL104264,c1cc2cnccc2c(c1)S(=O)(=O)NCCNC/C=C/c1ccc(cc1)Br
CHEMBL104436,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2CC1C(=O)O)N(C)C)O
CHEMBL1045,c1ccc(c(c1)C(=O)O)C(=O)O
CHEMBL104593,COc1ccccc1N1CCN(CCNC(=O)c2ccncc2)CC1
CHEMBL104749,CC(C)(C)c1cc(NC(=O)Nc2ccc(c3ccccc23)OCCN2CCOCC2)n(C)n1
CHEMBL104842,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2CC1C(=O)O)NC)O
CHEMBL104973,Cc1ccc(cc1)n1c(cc(C(C)(C)C)n1)NC(=Nc1cc(c(c2ccccc12)OCCN1CCOCC1)OC)O
CHEMBL104991,Cc1ccc(cn1)n1c(cc(C(C)(C)C)n1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1
CHEMBL10500,c1ccc(cc1)COC1(COc2ccccc2O1)C1=NCCN1
CHEMBL105060,CN([C@@H](/C=C/C(=N[C@@H]1CCCCN=C1O)O)Cc1ccc(c(c1)Cl)Cl)C(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
CHEMBL105248,CC(C)c1cc(NC(=O)Nc2ccc(c3ccccc23)OCCN2CCOCC2)n(c2ccccc2)n1
CHEMBL105442,C1CC1CON=C(c1ccc(c(c1Nc1ccc(cc1Cl)I)F)F)O
CHEMBL105459,CC(C)[C@@H](C(=NC)O)N=C([C@@H]([C@@H]([C@H]([C@H](C(=N[C@@H](C(C)C)C(=NC)O)O)OCc1ccccc1)O)O)OCc1ccccc1)O
CHEMBL10574,CCOCCNCC(COc1ccc(cc1)c1[nH]cc(c2cccs2)n1)O
CHEMBL105786,c1cc(ccc1c1ccc(cc1)Cl)C(=O)O
CHEMBL105805,Cc1cc2c(cc1Oc1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL105808,CN(C)c1ccc(cc1)c1ccc(cc1)C(=O)O
CHEMBL105876,Cc1ccccc1c1ccc(cc1)C(=O)O
CHEMBL105979,Cc1cc2c(cc1C(C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL105983,CC(C)c1cc(ccc1O)Oc1c(C)cc(cc1C)C[C@@H](C(=O)O)N
CHEMBL106,c1cc(c(cc1F)F)C(Cn1cncn1)(Cn1cncn1)O
CHEMBL106056,CC(=O)N1CCCCCC1C#CC[N+](C)(C)C
CHEMBL106091,c1cc(cc(c1)Cl)c1ccc(cc1)C(=O)O
CHEMBL106115,Cc1ccc(cc1CN(C)C)n1c(cc(C(C)(C)C)n1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1
CHEMBL106136,c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)C(=O)O
CHEMBL106175,Cc1cn([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)c(=O)nc1O
CHEMBL1062,CC(=O)[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)O
CHEMBL106291,Cc1cccc(c1)c1ccc(cc1)C(=O)O
CHEMBL106402,c1cc(cc(c1)F)c1ccc(cc1)C(=O)O
CHEMBL106470,c1ccc(cc1)Oc1ccc(/C=C/C=C/C(=O)O)cc1
CHEMBL106527,CC1(C)CCC(C)(C)c2cc(ccc12)C(=Nc1cc(c(c(c1)F)C(=O)O)F)O
CHEMBL106585,c1ccc(cc1)Oc1ccc(CCCCC(=O)O)cc1
CHEMBL106590,c1cc(ccc1c1cc(cc(c1)Cl)Cl)C(=O)O
CHEMBL106708,c1cc(ccc1c1ccc(cc1)F)C(=O)O
CHEMBL106761,c1cc(ccc1c1ccc(cc1)N)C(=O)O
CHEMBL106817,Cc1cc2c(cc1C1(CO1)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL106837,Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)C(C)C2(C)C
CHEMBL106848,c1cc(ccc1SCCO)S(=O)(=O)N
CHEMBL106853,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2CC1C(=N)O)N(C)C)O
CHEMBL106863,c1cc(ccc1c1ccc(c(c1)Cl)Cl)C(=O)O
CHEMBL106896,Cc1cc2c(cc1C1(CC1)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL106976,c1cc(ccc1c1ccc(c(c1)Cl)F)C(=O)O
CHEMBL107054,CC1(C)CCC(C)(C)c2cc(c(cc12)C(=Nc1cc(c(c(c1)F)C(=O)O)F)O)O
CHEMBL107057,c1ccc(cc1)c1ccc(cc1)C(=O)O
CHEMBL107085,c1cc(ccc1c1ccc(cc1Cl)Cl)C(=O)O
CHEMBL107103,c1ccc(cc1)C(=O)c1cccc(c1)O
CHEMBL107161,Cc1ccc(cc1)n1c(cc(C(C)(C)C)n1)NC(=Nc1cc(cc2ccccc12)OC)O
CHEMBL107281,c1cc(/C=C/C(=N)O)cc(c1)C(F)(F)F
CHEMBL107386,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2CC1C(=N)O)NC)O
CHEMBL107400,CC(C)c1cc(ccc1O)Cc1c(C)cc(cc1C)OCC(=O)O
CHEMBL107430,CC1(C)CCC(C)(C)c2c1cc(c(c2Cl)O)C(=Nc1cc(c(c(c1)F)C(=O)O)F)O
CHEMBL107456,CC(=O)N1CCCCC1C#CCN1CCCC1
CHEMBL107499,CCCn1c(=O)c2c([nH]c(C3CCCC3)n2)n(CCCCC(=O)c2ccc(cc2)S(=O)(=O)F)c1=O
CHEMBL107517,Cc1ccc(cc1)c1ccc(cc1)C(=O)O
CHEMBL107518,c1ccc(cc1)Oc1ccc(cc1)C(=O)O
CHEMBL107566,C=C[C@@]1(C)CC(=O)[C@@]2([C@@]3(C)[C@H](CCC(C)(C)[C@@H]3[C@@H]([C@@H]([C@@]2(C)O1)OC(=NCCN=C(CBr)O)O)O)O)O
CHEMBL1076,COc1ccc(c(c1)C(CN)O)OC
CHEMBL1076336,C1=CC[C@H](CC(=NCc2ccc(cc2)Cl)O)C(=NCCOC(=O)CCC1)O
CHEMBL107646,CCCn1c(=O)c2c([nH]c(C3CC4CCC3C4)n2)n(CCCCC(=O)c2ccc(cc2)S(=O)(=O)F)c1=O
CHEMBL1076620,C[C@H](Cc1cc(cc(c1)C(=O)OC)C(=O)OC)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076621,C[C@@H](Cc1cc(cc(c1)C(=O)OC)C(=O)OC)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076622,C[C@@H](Cc1ccc2c(c1)nc(C)o2)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076623,C[C@@H](Cc1ccc2c(c1)nsn2)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F.C(=C\C(=O)O)/C(=O)O
CHEMBL1076624,C[C@@H](Cc1ccc(nc1)OC)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F.C(=C\C(=O)O)/C(=O)O
CHEMBL1076625,C[C@H](Cc1ccc(nc1)OC)CN1C[C@H]2CCCC[C@H]2[C@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F.C(=C\C(=O)O)/C(=O)O
CHEMBL1076627,C[C@@H](Cc1ccc2nc(C)cn2c1)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076636,CN=C(NS(=O)(=O)N1CCC(CC1)F)N1CC(c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1076652,CC(Cc1ccc2c(c1)OCO2)CN1C[C@@H](C[C@@H]2CCCC[C@H]12)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076653,CC(Cc1ccc2c(c1)OCO2)CN1C[C@H](C[C@@H]2CCCC[C@H]12)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076654,CC(Cc1ccc2c(c1)OCO2)CN1C[C@H](C[C@@H]2CCCC[C@@H]12)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076655,CC(Cc1ccc2c(c1)OCO2)CN1C[C@H]2CCCC[C@H]2[C@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076656,CC(Cc1ccc2c(c1)OCO2)CN1C[C@H]2CCCC[C@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076657,CC(Cc1cc(cc(c1)C(=O)OC)C(=O)OC)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076658,CC(Cc1cc(cc(c1)C(=O)OC)C(=O)OC)CN1C[C@H]2CCCC[C@H]2[C@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076659,CC(Cc1cc(cc(c1)C(=O)OC)C(=O)OC)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1076686,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cccc(C(F)(F)F)n1
CHEMBL1076692,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cccc2c1nccn2
CHEMBL1076709,C[C@@H](Cc1ccc2c(c1)nccn2)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076710,CCOc1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@@H](C2)C(=O)N2CCN(CC2)c2ccc(c(c2)F)F)cn1
CHEMBL1076711,CCN=c1ccc(C[C@H](C)CN2C[C@@H]3CCCC[C@@H]3[C@@H](C2)C(=O)N2CCN(CC2)c2ccc(c(c2)F)F)c[nH]1
CHEMBL1076715,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1ccc2c(nccn2)n1
CHEMBL1076717,C[C@@H](Cc1ccc2c(c1)OCO2)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076718,C[C@@H](Cc1ccc2c(c1)nco2)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076719,C[C@@H](Cc1ccc2ncnn2c1)CN1C[C@@H]2CCCC[C@@H]2[C@@H](C1)C(=O)N1CCN(CC1)c1ccc(c(c1)F)F
CHEMBL1076720,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cc2c(cn1)nccn2
CHEMBL1076724,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2C[C@H]1C(=NCC/C=C/CCN=C([C@@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N)O)O)N)O
CHEMBL1076736,Cc1cc(cc(C)c1C[C@@H](C(=O)N1Cc2ccccc2C[C@H]1C(=NCCN=C([C@@H]1Cc2ccccc2CN1C(=O)[C@H](Cc1c(C)cc(cc1C)O)N)O)O)N)O
CHEMBL1076737,Cc1cc(cc(C)c1C[C@@H](C(=N[C@H]1Cc2ccccc2CN(CC(=NCCN=C(CN2Cc3ccccc3C[C@@H](C2=O)N=C([C@H](Cc2c(C)cc(cc2C)O)N)O)O)O)C1=O)O)N)O
CHEMBL1077119,C[C@@]12CC[C@H]3[C@@H](C[C@@H]([C@@H](CO)O3)O)O[C@H]1C[C@@H]1[C@H](C[C@H]([C@H](CCOCc3ccccc3)O1)OCc1ccccc1)O2
CHEMBL1077284,CCCCC/C=C\C=C\C(CCCCCCCC(=O)O)O
CHEMBL1077370,C(CCC(=N[C@H](CCCCN)C(=NCCCCCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)O)O)CCN=C(c1cccc(c1)c1ccncc1)O
CHEMBL1077371,C(CCC(=N[C@H](CCCCN)C(=NCCCCCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)O)O)CCN=C(c1cccc(c1)c1cc[nH]c(=N)n1)O
CHEMBL1077372,C(CCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)CCN=C([C@@H](CCCCN)N=C(CCCCCN=C(c1cn(c2c3c([nH]cn3)ncn2)nn1)O)O)O
CHEMBL1077445,CC(C)C[C@]1(CCO)C[C@H](CN=C(Nc2ccc(c(c2)C(=O)O)c2c3ccc(cc3oc3cc(=O)ccc23)O)S)ON1Cc1ccc(cc1)C(F)(F)F
CHEMBL1077454,CC(C)C[C@]1(CCO)C[C@H](CN=C(Nc2ccc(c(c2)C(=O)O)c2c3ccc(cc3oc3cc(=O)ccc23)O)S)ON1Cc1ccc2ccccc2c1
CHEMBL1077474,CC(C)C[C@]1(CCO)C[C@H](CN=C(Nc2ccc(c(c2)C(=O)O)c2c3ccc(cc3oc3cc(=O)ccc23)O)S)ON1Cc1ccc(cc1)c1ccccc1
CHEMBL1077475,CC(C)C[C@]1(CCO)C[C@H](CN=C(Nc2ccc(c(c2)C(=O)O)c2c3ccc(cc3oc3cc(=O)ccc23)O)S)ON1Cc1ccccc1
CHEMBL107754,Cc1cc(cc(C)c1C[C@H](C(=O)N1Cc2ccccc2CC1C(=O)O)NC)O
CHEMBL1077597,CC(=NCCCCCC(=N[C@H](CCCCN)C(=NCCCCCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)O)O)O
CHEMBL1077598,c1ccc(cc1)C(=NCCCCCC(=N[C@H](CCCCN)C(=NCCCCCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)O)O)O
CHEMBL1077599,C(CCC(=N[C@H](CCCCN)C(=NCCCCCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)O)O)CCNC(=O)c1ccc(cc1)C(=O)N
CHEMBL1077600,C(CCC(=N[C@H](CCCNC(=N)N)C(=N[C@H](CCCNC(=N)N)C(=N)O)O)O)CCN=C([C@@H](CCCCN)N=C(CCCCCN=C(Nc1ccc(cc1)C(=O)N)O)O)O
CHEMBL107779,CCN(CC)CCOc1ccccc1C(=O)Cc1ccccc1
CHEMBL1078027,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)NC(=O)c2cccnc2)[nH]o1
CHEMBL107850,Cc1ccc(cc1)n1c(cc(C(C)(C)CO)n1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1
CHEMBL1079354,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)C(=O)Nc2ccccn2)[nH]o1
CHEMBL1079544,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)N=C(c2cccc(n2)O)O)[nH]o1
CHEMBL1079545,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)NC(=O)c2c(cccn2)O)[nH]o1
CHEMBL1079557,C1C=CC[C@@H](CC(=NCc2ccc(cc2)Cl)O)C(=NCCOC(=O)CCC1)O
CHEMBL1079558,c1ccc(cc1)[C@H]1CN=C([C@H](CC=CCCC(=O)O1)CC(=NCc1ccc(cc1)Cl)O)O
CHEMBL1079596,CN=C(NC[C@@H]1[C@H]([C@H]([C@H](n2cnc3c(ncnc23)NC(=Nc2ccccc2)O)O1)O)O)O
CHEMBL1079628,CNC(=NS(=O)(=O)c1ccc(cc1)F)C1=NN(c2ccc(cc2)Cl)C(C1)c1ccccc1
CHEMBL1079798,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1ccc(C#N)cn1
CHEMBL1079799,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cccc(=O)n1C
CHEMBL107985,C=C[C@@]1(C)CC(=O)[C@@]2([C@@]3(C)[C@H](CCC(C)(C)[C@@H]3[C@@H]([C@@H]([C@@]2(C)O1)OC(=O)C)OC(=NCCN=C=S)O)O)O
CHEMBL1079969,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cccc2c1non2
CHEMBL108,c1ccc2c(c1)C=Cc1ccccc1N2C(=N)O
CHEMBL1080063,Cc1ccc2c(c1)cc(C(=Nc1ccc(cc1)NC(=O)N=c1cc(C(C)(C)C)o[nH]1)O)s2
CHEMBL1080064,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)N=C(c2c3ccccc3ccn2)O)[nH]o1
CHEMBL1080091,C1=CC[C@@H](CC(=NCc2ccc(cc2)Cl)O)C(=NCCOC(=O)CC1)O
CHEMBL1080156,CNC(=NS(=O)(=O)N1CCC(CC1)C(F)(F)F)C1=NN(c2ccc(cc2)Cl)[C@H](C1)c1ccccc1
CHEMBL1080157,CNC(=NS(=O)(=O)N1CCC(CC1)C(F)(F)F)C1=NN(c2ccc(cc2)Cl)[C@@H](C1)c1ccccc1
CHEMBL1080545,CN=C(NS(=O)(=O)N1CCC(CC1)C(F)(F)F)N1C[C@H](c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1080733,c1ccc2c(c1)c1ccccc1C2CCN1CCCC(C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1080734,CC(Cc1ccc2c(c1)OCO2)CN1CCCC(C1)C(=O)N1CCN(CC1)c1ccc(cc1)N(=O)=O
CHEMBL1080754,CC(Cc1ccc2c(c1)OCO2)CN1CC2CCCCC2C(C1)C(=O)N1CCN(CC1)c1cccc(c1)F
CHEMBL1080783,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)C(=O)Nc2cccnc2)[nH]o1
CHEMBL1080784,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)C(=O)N=c2cc[nH]cc2)[nH]o1
CHEMBL1080908,CN=C(NS(=O)(=O)N1CCC(CC1)C(F)(F)F)N1C[C@@H](c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1080910,c1ccc(C#N)c(c1)/C=C/C1=C(C(=O)C1=O)N1CCN(CC1)Cc1ccsc1
CHEMBL1080916,CN=C(NS(=O)(=O)N1CCC(CC1)(F)F)N1C[C@H](c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1080917,CN=C(NS(=O)(=O)N1CCC(CC1)(F)F)N1C[C@@H](c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1080987,C1C=CC[C@H](CC(=NCc2ccc(cc2)Cl)O)C(=NCCOC(=O)CCC1)O
CHEMBL1081077,C1CCC(CC1)CN1CCN(CC1)C1=C(/C=C/c2ccccc2C#N)C(=O)C1=O
CHEMBL10811,Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H](Cc1ccc(cc1)c1cccc(c1)NC(=NC1CC1)O)C(=O)O
CHEMBL1081166,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)NC(=O)Cc2ccccc2)[nH]o1
CHEMBL1081167,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)NC(=O)C2CCNCC2)[nH]o1
CHEMBL1081169,CC(C)(C)c1cc(=NC(=O)Nc2ccc(cc2)NC(=O)c2ccccc2)[nH]o1
CHEMBL1081213,CN=C(NS(=O)(=O)N1CCC(CC1)C(F)(F)F)N1CC(c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1081285,CN=C(NS(=O)(=O)N1CCCCC1)N1C[C@H](c2ccccc2)C(=N1)c1ccc(cc1)Cl
CHEMBL1081286,CNC(=NS(=O)(=O)c1ccc(cc1)Cl)C1=NN(c2ccc(cc2)Cl)C(C1)c1ccccc1
CHEMBL10813,Cc1c(C(=O)C)nc(c2ccc(cc2)OCC(CNCCc2ccc(c(c2)OC)OC)O)[nH]1
CHEMBL1081304,CNC(=NS(=O)(=O)c1cccc(c1)Cl)C1=NN(c2ccc(cc2Cl)Cl)C(C1)c1ccccc1
CHEMBL1081305,CNC(=NS(=O)(=O)c1ccc(cc1)Cl)C1=NN(c2ccc(cc2Cl)Cl)C(C1)c1ccccc1
CHEMBL1081306,CNC(=NS(=O)(=O)c1ccc(cc1)C(F)(F)F)C1=NN(c2ccc(cc2Cl)Cl)C(C1)c1ccccc1
